,first,last,employer,title,name,Fullname,start_at_this,school_current,title_current,gender,come_from,move_to,department,website,cv,phd,phd_year,master,master_year,bachelor,bachelor_year,career,postdoc,Unnamed: 21,id
70,Ashley,Landers,Virginia Polytechnic Institute and State University,Assistant Professor,Ashley Landers,Ashley Landers,2017,Y,ASST,F,,,Human Development and Family Science,,https://drive.google.com/file/d/0BwSZF3oYTnaBZlBxMGl3N2djTXc/view,University of Minnesotta,2016,St. Cloud State University,2007,St. Cloud State University,2005,,"University of Calgary, Alberta, Canada. 2016-2017",,['AUTHOR_ID:57191524163']
71,Ashley,Maynor,Virginia Polytechnic Institute and State University,Assistant Professor,Ashley R. Maynor,Ashley Maynor,2012,N,DIRECTOR,F,,Nest Features,University Libraries,https://www.linkedin.com/in/ashleymaynor/,,.,,"Temple University; University of Tennessee, Knoxville",2005-2008;2010-2013,"University of Tennessee, Knoxville",2000-2004,"Virginia Tech, 2008-2012; Nest Features, TN, 2012-2013; University of Tennessee, Knoxville, 2013-2017; New York University, 2017-Present",,,
72,Ashley,Reichelmann,Virginia Polytechnic Institute and State University,Assistant Professor,Ashley Reichelmann,Ashley Reichelmann,2017,Y,ASST,F,,,Sociology,,https://drive.google.com/file/d/1qPGEK-jrhOuIPMBCIDgmZYcYGiFUMQZR/preview,Northeastern University,2017,"University of Bristol, United Kingdom",2009,The College of New Jersey,2008,,,,['AUTHOR_ID:56001949300']
73,Audra,Wart,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Audra Van Wart,Audra Wart,2012,Y,ASSOC DEAN,F,,Brown University(2019),Health Sciences Education,https://www.linkedin.com/in/audra-van-wart-006a9b9/,,Stony Brook University,2000-2005,.,,Loyola University,1996-2000,"Brown University, 2019-Present","Massachusetts Institute of Technology, 2006-2009; Neuron, MA, 2009-2012",,
74,Audrey,Mcelroy,Virginia Polytechnic Institute and State University,Associate Professor,Audrey P. Mcelroy,Audrey Mcelroy,2014,N,PROF,F,,Texas A&M University,Animal and Poultry Sciences,https://vtnews.vt.edu/articles/2010/04/2010-311.html; linkedin.com/in/audrey-mcelroy-1a88a463/,,Texas A&M University,1989-1998,Texas A&M University,,Texas A&M University,,"Virginia Tech, 1999-2014",,,['AUTHOR_ID:7005227505']
75,Audrey,Reeves,Virginia Polytechnic Institute and State University,Assistant Professor,Audrey Reeves,Audrey Reeves,2018,Y,ASST,F,,,Political Science,,https://drive.google.com/file/d/1URCXtVKiY8eui0rMay8dfkegf7Z7y5l7/preview,University of Bristol,2011-2016,Institute of International Development Studies,2008-2010,"University of Montreal, Canada",2006-2008,"University of Bristol, 2016-2017; Cardiff Universtiy, 2017-2018",,,['AUTHOR_ID:57211576293']
76,Audrey,Zink-Sharp,Virginia Polytechnic Institute and State University,Professor,Audrey Zink-Sharp,Audrey Zink-Sharp,,Y,PROF,F,,,Wood Science and Forest Products,https://sbio.vt.edu/our-people/faculty-directory/zink-sharp.html,,State University of New York,1992,Colorado State University,1986,Colorado State University,1983,,,,['AUTHOR_ID:7801341203']
77,Bahareh,Behkam,Virginia Polytechnic Institute and State University,Assistant Professor,Bahareh Behkam,Bahareh Behkam,2008,Y,ASSOC,F,,,Mechanical Engineering,http://www.me.vt.edu/people/faculty/bahareh-behkam/,,Carnegie Mellon Univeristy,2008,Carnegie Mellon Univeristy,2003,"Sharif University of Technolohy, Iran",1999,,"Carnegie Mellon Univeristy, 2008",,['AUTHOR_ID:9133125100']
78,Bahareh,Nojabaei,Virginia Polytechnic Institute and State University,Assistant Professor,Bahareh Nojabaei,Bahareh Nojabaei,2016,Y,ASST,F,,,Mining and Minerals Engineering,https://www.linkedin.com/in/bahareh-nojabaei-5b73a622/ ; https://www.mining.vt.edu/people/faculty/bahareh-nojabaei.html,,Pennsyvania State University,2010-2015,"Amirkabir University of Technology, Iran",2009,Iran University of Science and Technology,2006,,"University of Wyoming, 2015-2016",,['AUTHOR_ID:55600753700']
79,Balbir,Singh,Virginia Polytechnic Institute and State University,Assistant Professor,Balbir Singh,Balbir Singh,2018,Y,ASST,F,,,Religion and Culture,http://vt.academia.edu/BalbirKSingh,,University of Washington,2016,University of Washington,,"State University of New York, Buffalo",,,"University of Illinois, Urbana-Champaign, 2016-2017; University of Texas, Austin, 2017-2018",,['AUTHOR_ID:57212767429']
80,Barbara,Lockee,Virginia Polytechnic Institute and State University,Professor,Barbara B. Lockee,Barbara Lockee,1997,Y,PROF,F,,,Education,https://www.linkedin.com/in/barbara-lockee-a199814/,,Virginia Tech,1993-1996,Appalachian State University,1986,Appalachian State University,1986,,,,['AUTHOR_ID:35607814400']
81,Barbara,Fraticelli,Virginia Polytechnic Institute and State University,Assistant Professor,Barbara Fraticelli,Barbara Fraticelli,2001,Y,ASST PROF of PRAC,F,,,Business Information Technology,https://www.linkedin.com/in/barbarafraticelli/,,Virginia Tech,1997-2001,Pennsylvania State University,1995-1997,Pennsylvania State University,1991-1995,,,,['AUTHOR_ID:6507651093']
82,Barbara,Ryder,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Barbara G. Ryder,Barbara Ryder,,N,PROF EMERITUS,F,,Retired,Computer Science,http://people.cs.vt.edu/ryder/,http://people.cs.vt.edu/ryder/vitaVT_Newest.pdf,,,,,,,"Rutgers University, 1982-2008",,,['AUTHOR_ID:7003693065']
83,Barbara,Hoopes,Virginia Polytechnic Institute and State University,Associate Professor,Barbara J. Hoopes,Barbara Hoopes,1994,Y,ASSOC,F,,,Business Information Technology,https://www.linkedin.com/in/barbara-hoopes-111464/,,"University of North Carolina, Chapel Hill",1987-1994,.,,Davidson College,1978-1982,,,,['AUTHOR_ID:6602163429']
84,Barbara,Allen,Virginia Polytechnic Institute and State University,Associate Professor,Barbara L. Allen,Barbara Allen,2000,Y,PROF,F,,,"Science, Technology and Society",,https://drive.google.com/file/d/1_aaWoUA6pcoYoWfufCc2mprC61iV5nDO/preview,Rensselaer Polytechnic Institute,1999,Columbia University,1977,"University of Colorado, Boulder",1976,,,,['AUTHOR_ID:36779333000']
85,Barbara,Smith,Virginia Polytechnic Institute and State University,Professor,Barbara Smith,Barbara Smith,,N,PROF EMERITUS,F,,Retired,Sociology,https://vtnews.vt.edu/articles/2017/11/clahs-barbara-ellen-smith-emerita.html,,,,,,,,,,,"['AUTHOR_ID:8439526800', 'AUTHOR_ID:23040416000']"
86,Beate,Schmittmann,Virginia Polytechnic Institute and State University,Professor,Beate Schmittmann,Beate Schmittmann,2012,N,PROF/ DEAN,F,,Iowa State University,Physics,https://www.linkedin.com/in/beate-schmittmann-865a62b/; https://las.iastate.edu/beate-schmittmann,,"University of Edinburgh, Scotland",1984,"RWTH Aachen University, Germany",1981,,,"Heinrich Heine University Düsseldorf, Germany, 1984-1990; Virginia Tech 1991-2012",,,['AUTHOR_ID:7003675839']
87,Bertranna,Muruthi,Virginia Polytechnic Institute and State University,Assistant Professor,Bertranna Muruthi,Bertranna Muruthi,2016,Y,ASST,F,,University of Oregon(2019),Human Development,,https://casprofile.uoregon.edu/sites/casprofile2.uoregon.edu/files/cv/cv-5496.pdf,University of Georgia,2016,Miami University,2010,Miami University,2007,"Virginia Tech, 2016-2019; University of Oregon, 2019-Presemt",,,['AUTHOR_ID:57185830400']
88,Bess,Pierce,Virginia Polytechnic Institute and State University,Associate Professor,Bess J. Pierce,Bess Pierce,2016,N,ASSOC,F,,Lincoln Memorial University,College of Veterinary Medicine,https://www.linkedin.com/in/bess-pierce-034251a0/,,Auburn University,1988-1992,Auburn University,1988-1990,Tulane University,1982-1986,"Virginia-Maryland College of Veterinary Medicine, 2007-2016","University of Florida, 1997-2000; ",,['AUTHOR_ID:57197163318']
89,Bethany,Bray,Virginia Polytechnic Institute and State University,Assistant Professor,Bethany C. Bray,Bethany Bray,2012,N,ASSOC,F,,University of Illinois at Chicago,Psychology,https://www.linkedin.com/in/bcbray/,,Pennsylvania State University,2002-2007,.,,"University of Michigan, Dearborn",1997-2000,"Virginia Tech, 2009-2012; Pennsylvania State University, 2012-2019; University of Illinois at Chicago, 2019-","Pennsylvania State University, 2007-2009",,['AUTHOR_ID:57214779327']
90,Bethany,Rowson,Virginia Polytechnic Institute and State University,Research Assistant Professor,Bethany Rowson,Bethany Rowson,2016,Y,RS ASST,F,,,Biomedical Engineering and Mechanics,https://beam.vt.edu/people/faculty/rowson-b.html,,Virginia Tech;Virginia Tech,2015; 2016,,,,,,,,['AUTHOR_ID:56578315600']
91,Bettina,Koch,Virginia Polytechnic Institute and State University,Assistant Professor,Bettina Koch,Bettina Koch,2006,Y,ASSOC,F,,,Political Science,,https://drive.google.com/file/d/1uvo2GA_NvE0cvv5KnGRplFKqLVTM6gyW/preview,"Horchschule Vechta, Vechta Germany",2004,"Westfälische Wilhelms-Universität Münster, Münster, Germany",1997,,,,,,['AUTHOR_ID:55243678700']
92,Beverly,Purswell,Virginia Polytechnic Institute and State University,Professor,Beverly J. Purswell,Beverly Purswell,,N,,F,,RETIRED,Veterinary Medicine,https://www.vetmed.vt.edu/people/bios/purswell.asp,,,,,,,,,,,['AUTHOR_ID:6701409544']
93,Bevlee,Watford,Virginia Polytechnic Institute and State University,Administrative - Professor,Bevlee A. Watford,Bevlee Watford,1992,Y,PROF/ASSOC DEAN,F,,,Engineering,https://www.linkedin.com/in/bevlee-watford-4561a19/; https://eng.vt.edu/about/biographies/bevlee-watford.html,,Virginia Tech,1985,Virginia Tech,1983,Virginia Tech,1981,,,,['AUTHOR_ID:6602764559']
94,Bhuvana,Srinivasan,Virginia Polytechnic Institute and State University,Assistant Professor,Bhuvana Srinivasan,Bhuvana Srinivasan,2014,Y,ASST,F,,,Aerospace and Ocean Engineering,https://www.linkedin.com/in/bhuvana-srinivasan-51886791/,,University of Washington,2006-2010,University of Washington,2004-2006,Illinois Institute of Technology,2000-2004,,"Los Alamos National Lab, 2010-2016",,"['AUTHOR_ID:55613239809', 'AUTHOR_ID:57219439950']"
95,Bianica,Pires,Virginia Polytechnic Institute and State University,Research Assistant Professor,Bianica Pires,Bianica Pires,2017,Y,RS ASST,F,,,Biocomplexity Institute,https://www.linkedin.com/in/bianicapires/,,George Mason University,2007-2014,University of Floirda,2002-2003,University of Floirda,1997-2002,,"Virginia Tech, 2014-2017",,['AUTHOR_ID:57191479973']
96,Birgit,Scharf,Virginia Polytechnic Institute and State University,Assistant Professor,Birgit Scharf,Birgit Scharf,2008,Y,ASSOC,F,,,Biological Sciences,https://www.biol.vt.edu/faculty/scharf/index.html,,"Ruhr-University Bochum, Max Plank Institute, Germany",1989-1992,"Ruhr-University, Bochum and Max-Planck-Institute, Germany",1983-1989,,,,"Max-Planck-Institute, Dortmund, Germany, 1992-1993; Harvard University, 1994-1998; University Regensburg, Germany, 1998-2007; Harvard University, 2007-2008",,['AUTHOR_ID:7005695554']
97,Bo,Zhang,Virginia Polytechnic Institute and State University,Research Assistant Professor,Bo Zhang,Bo Zhang,2013,Y,ASST,F,Virginia State Unviersity,,Plant and Environmental Sciences,https://spes.vt.edu/faculty-staff/faculty/zhang-bo.html,,University of Arkansas,2006,"Chinese Academy of Agricultural Sciences, China",2003,"Shenyang Agricultural University, China",1998,"Virginia State University, 2011-2013","University of Arkansas, 2007-2009; Bayer Crop Science, Inc, 2008-2011;",,"['AUTHOR_ID:55619299059', 'AUTHOR_ID:36629822800', 'AUTHOR_ID:55777912600', 'AUTHOR_ID:57199725729', 'AUTHOR_ID:57213831965', 'AUTHOR_ID:57208379634', 'AUTHOR_ID:57218111391', 'AUTHOR_ID:57199726947']"
98,Bonnie,Smith,Virginia Polytechnic Institute and State University,Associate Professor,Bonnie J. Smith,Bonnie Smith,1991,Y,ASSOC,F,,,Veterinary Medicine,https://www.vetmed.vt.edu/people/bios/smith-bonnie.asp,,The Ohio State University;The Ohio State University,1985;1986,The Ohio State University,1979,The Ohio State University,1976,"North Carolina State University, 1986-1990",,,['AUTHOR_ID:7501690443']
99,Bonnie,Billingsley,Virginia Polytechnic Institute and State University,Professor,Bonnie S. Billingsley,Bonnie Billingsley,1987,Y,PROF,F,,,Teaching and Learning,,https://docs.google.com/document/d/1eIowPCgt7kY8-Ys5uJd_kKLuJa8NI54olV2K1bvVT1Q/preview,Virginia Tech,1987,Florida State University,1978,,,,,,['AUTHOR_ID:6601912634']
100,Bonnie,Zare,Virginia Polytechnic Institute and State University,Associate Professor,Bonnie Zare,Bonnie Zare,2017,Y,ASSOC,F,,,Sociology,,https://docs.google.com/document/d/1Yx8U_WoSvw5Unnvy1Q4Xai6o5UwW8Y6IyTTQbCXIjZE/preview,Tufts University,1994,"University of Wisconsin, Madison",1989,Stanford University,1988,"Wheaton College, 1993-1995; Francis Marion University, 1995-1997; University of Wyoming 1997-2017",,,['AUTHOR_ID:6508286934']
101,Brandi,Watkins,Virginia Polytechnic Institute and State University,Assistant Professor,Brandi A. Watkins,Brandi Watkins,2014,Y,ASST,F,,,Communication,http://brandiwatkins.weebly.com/,http://brandiwatkins.weebly.com/uploads/5/4/1/3/54138645/brandi_watkins_cv.pdf,University of Alabama,2013,University of Alabama,2008,Mississippi State University,2006,"University of Alabama, 2013-2014",,,['AUTHOR_ID:55798920800']
102,Brandy,Burgess,Virginia Polytechnic Institute and State University,Assistant Professor,Brandy A. Burgess,Brandy Burgess,2014,Y,ASST,F,,,Epidemiology,https://www.vetmed.vt.edu/people/bios/burgess.asp,,Colorado State University(DVM); Colorado State University,2005;2014,University of Sasketchewan,2009,,,,"University of Saskatchewan, 2005-2009; Colorado State University, 2009-2014",,['AUTHOR_ID:12798934500']
103,Brandy,Faulkner,Virginia Polytechnic Institute and State University,Assistant Professor,Brandy S. Faulkner,Brandy Faulkner,2012,Y,ASST,F,,,Political Science,,http://gstudies.asp.radford.edu/speakers/Faulkner/BrandyCV1.pdf,Virginia Tech,2012,"University of North Carolina, Greensboro",2000,Averett University,1997,,,,
104,Brenda,Davy,Virginia Polytechnic Institute and State University,Associate Professor,Brenda M. Davy,Brenda Davy,2003,Y,PROF,F,,,"Human Nutrition, Foods, and Exercise",https://www.hnfe.vt.edu/people/gpf/davy-b.html ; https://vtnews.vt.edu/articles/2020/05/cals-brenda-davy.html,,Colorado State University,2001,Virginia Tech,1992,Virginia Tech,1989,,,,['AUTHOR_ID:7003555184']
105,Brenda,Brand,Virginia Polytechnic Institute and State University,Associate Professor,Brenda R. Brand,Brenda Brand,2001,Y,ASSOC,F,,,Education,,https://drive.google.com/file/d/0BwSZF3oYTnaBcV92dEdYUDdWYjg/preview,Virginia Tech,1998,Virginia Tech,1994,Delta State University;Delta State University,1986;1987,,"Montgomery County Public Schools, 1997-2001",,['AUTHOR_ID:7005471757']
106,Brenda,Winkel,Virginia Polytechnic Institute and State University,Professor,Brenda S. Winkel,Brenda Winkel,1992,Y,PROF,F,,,Biological Sciences,https://www.linkedin.com/in/brenda-winkel-825860b/,,University of Georgia,1984-1989,"Southern Illinois State University, Carbondale",1978-1981,"Southern Illinois State University, Carbondale",1976-1978,,"Massachusetts General Hospital/Harvard Medical School, 1989-1992",,"['AUTHOR_ID:7005145231', 'AUTHOR_ID:57205396864']"
107,Brigitte,Scott,Virginia Polytechnic Institute and State University,Research Assistant Professor,Brigitte Scott,Brigitte Scott,2013,Y,RS ASST,F,,,"College of Agriculture and Life Scciences, Extension",https://www.linkedin.com/in/brigitte-c-scott-44238488/,,Virginia Tech,2008-2013,"University of Nebraska, Lincoln",,Rosemont College,,,"West Virginia Higher Education Policy Commision, 2013",,['AUTHOR_ID:37087671500']
108,Bryanne,Peterson,Virginia Polytechnic Institute and State University,Research Assistant Professor,Bryanne Peterson,Bryanne Peterson,2018,Y,RS ASST,F,,"University of Missouri, Columbia(2020)",Center for Research in SEAD Education,https://www.linkedin.com/in/bryannepeterson/,,Virginia Tech,2014-2018,Virginia Tech,2010-2011,Mary Baldwin College,1998-2004,"Virginia Tech, 2018-2020; University of Missouri, Columbia, 2020",,,['AUTHOR_ID:57209614182']
109,C,Dorey,Virginia Polytechnic Institute and State University,Professor,C Dorey,C Dorey,,N,,F,,RETIRED,School of Medicine,https://www.linkedin.com/in/kathy-dorey-622899a8/ ; https://medicine.vtc.vt.edu/news/2019/20191108-dorey.html,,Georgetown University,,,,,,"Schepens Eye Research Institute, 1989-2005; University of Miami, 2003-2009",University of Southern California,,
110,Caitlin,Jewitt,Virginia Polytechnic Institute and State University,Assistant Professor,Caitlin E. Jewitt,Caitlin Jewitt,2014,Y,ASST,F,,,Political Science,,https://drive.google.com/file/d/0BwSZF3oYTnaBcVpOZWxqUXJneVE/preview,University of Minnesota,2012,University of Minnesota,2009,Hartwick College,2006,"Indiana University, 2012-2014",,,['AUTHOR_ID:56197833100']
111,Candice,Clemenz,Virginia Polytechnic Institute and State University,Admin - Assistant Professor,Candice E. Clemenz,Candice Clemenz,2017,N,CHAIR of CLUB MANAGEMENT,F,,University of North texas,Hospitality and Tourism Management/Pamplin College of Business,https://www.linkedin.com/in/candice-candi-clemenz-a760a223/,,Virginia tech,1997-2001,University of Tennessee,1991-1993,Florida State University,1971-1975,"Virginia Tech, 1996-2003; University of West Florida, 2003-2005; Virginia Tech, 2005-2017",,,['AUTHOR_ID:14831017600']
112,Cara,Daggett,Virginia Polytechnic Institute and State University,Assistant Professor,Cara Daggett,Cara Daggett,2017,Y,ASST,F,,,Political Science,,https://drive.google.com/file/d/0BwSZF3oYTnaBWjBNaDcwY3FjTG8/preview,John Hopkins University,2016,London School of Economics,2005,Harvard University,2002,,"University of South Florida, 2016-2017",,['AUTHOR_ID:57056013200']
